,"[0, 0]","[0, 1]","[0, 2]","[1, 0]","[1, 1]","[1, 2]","[2, 0]","[2, 1]","[2, 2]"
0000000000000000,-0.28247276097355545,-0.2697050167115671,-0.27446107216768767,-0.3448166349967724,-0.2786164286217885,-0.26611825592888555,-0.2808256722816426,-0.2694661375850095,-0.2700019147534119
0100000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100000020000000,-0.006727290133047975,-0.01,-0.022484584121978887,-0.01818831324057749,-0.01,-0.027951808254563646,-0.01,-0.006672068212513574,-0.0018890521651192726
1100000020000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100002020000000,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,-0.030257290435244083,-0.0004702008865678372
1100012020000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100012022000000,-0.01,-0.01,0.0,-0.01,0.0,-0.01,-0.01,0.0,-0.008817859368655702
1100112022000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000100000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000100000200000,-0.017562984778473078,-0.029740997561148962,-0.027899015945162205,-0.01,-0.014464773932411185,-0.028681389069738904,-0.01,-0.012598578735750685,-0.01
0100100000200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100102000200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03540912230831964,0.0
0100102010200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100102012200000,0.0,-0.01,-0.01,-0.01,-0.01365490355818151,-0.01,-0.01,-0.01,-0.01
0110102012200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1020000000000000,0.0,-0.006506634379379596,-0.01,0.0,-0.023619423277822783,0.0,-0.013348431073593325,0.0,0.0
1020100000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1020100020000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016479544535300376
1120100020000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1120100020200000,-0.01,0.0,-0.01,0.0,0.0,0.008121095831433018,0.0,0.0,-0.01
1120110020200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0010000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0010020000000000,-0.007017877664665998,-0.0118273000119164,-0.01,-0.007770118815905523,0.0,-0.01,-0.014408377122885918,-0.026613998931996397,-0.00286374663704767
0010020001000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0010020001200000,0.0,0.0,0.0,0.0,0.0,0.0,-0.003535489675367494,0.0,0.0
0110020001200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0110020021200000,0.0,0.0,0.0,-0.004364802068354932,0.0,0.0,0.0,0.0,0.0
0110021021200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000000100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000200000100000,0.0062405715300314565,-0.0031276951093877595,-0.0066526475664608,-0.01,-0.006242529186873214,0.0,-0.0058177080344341495,-0.01,0.0
1000200000100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1020200000100000,0.0,0.0,0.0,0.0,-0.008213145143778768,0.0,0.0,0.0,0.0
1020201000100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1020221000100000,-0.01,0.0,0.0,0.0,-0.01,0.0,-0.00017245106504918122,-0.016922013234115046,-0.01
1120221000100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000001000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000000001000000,-0.01,-0.027914803397533987,-0.016101226588715378,0.0,0.0,-0.015504421681221126,0.0,0.0,0.0
2000000001100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000002001100000,0.0,0.0,-0.019141261334840873,0.0,0.0,0.0,0.0,0.0,0.0
2100002001100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100000000000000,0.0,0.0,-0.013321096343334437,0.0,0.0,-0.027924968282725515,-0.029174304732267776,-0.030232496980668506,-0.02966019028342771
2100001000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100001020000000,-0.01,-0.01,0.0,0.0,-0.027309343336829054,0.0,0.0,0.0,0.0
2100001020100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100021020100000,-0.01,-0.01,-0.008687836380019002,0.0,-0.01,-0.01,0.0,0.0,0.0
2100021021100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000010000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
